"Date","Price","Open","High","Low","Vol.","Change %"
"09/05/2016","130.69","130.66","130.78","130.62","","0.01%"
"09/04/2016","130.68","130.75","130.75","130.66","","-0.79%"
"09/02/2016","131.72","131.83","132.25","131.47","51.22K","-0.13%"
"09/01/2016","131.89","131.73","132.02","131.39","191.90K","0.01%"
"08/31/2016","131.88","131.92","132.08","131.72","256.77K","-0.01%"
"08/30/2016","131.89","131.97","132.03","131.69","986.14K","-0.05%"
"08/29/2016","131.95","131.38","132.00","131.30","1.64M","0.43%"
"08/26/2016","131.38","132.05","132.44","131.36","2.76M","-0.51%"
"08/25/2016","132.06","132.19","132.30","132.00","2.06M","-0.12%"
"08/24/2016","132.22","132.28","132.36","132.11","1.30M","0.00%"
"08/23/2016","132.22","132.27","132.42","132.05","1.05M","-0.05%"
"08/22/2016","132.28","131.89","132.31","131.69","946.75K","0.25%"
"08/19/2016","131.95","132.42","132.44","131.83","987.24K","-0.32%"
"08/18/2016","132.38","132.22","132.48","132.08","884.81K","0.20%"
"08/17/2016","132.11","132.00","132.39","131.83","1.11M","0.08%"
"08/16/2016","132.00","132.22","132.64","131.88","1.46M","-0.19%"
"08/15/2016","132.25","132.55","132.70","132.17","779.59K","-0.21%"
"08/12/2016","132.53","132.09","132.91","132.03","1.19M","0.36%"
"08/11/2016","132.05","132.70","132.78","132.00","1.00M","-0.51%"
"08/10/2016","132.73","132.31","132.78","132.31","1.03M","0.29%"
"08/09/2016","132.34","131.98","132.42","131.92","924.12K","0.22%"
"08/08/2016","132.05","132.05","132.20","131.80","978.79K","-0.07%"
"08/05/2016","132.14","133.02","133.06","132.05","1.32M","-0.61%"
"08/04/2016","132.95","132.58","133.09","132.45","1.12M","0.28%"
"08/03/2016","132.58","132.41","132.64","132.27","1.02M","0.02%"
"08/02/2016","132.55","132.59","132.72","132.20","1.42M","-0.19%"
"08/01/2016","132.80","133.12","133.12","132.56","1.03M","-0.19%"
"07/29/2016","133.05","132.66","133.14","132.11","1.58M","0.37%"
"07/28/2016","132.56","132.64","132.75","132.34","1.11M","0.01%"
"07/27/2016","132.55","132.14","132.67","131.83","1.17M","0.33%"
"07/26/2016","132.12","132.03","132.34","131.86","1.02M","0.05%"
"07/25/2016","132.06","132.12","132.27","131.89","732.64K","-0.05%"
"07/22/2016","132.12","132.30","132.52","131.91","993.88K","-0.08%"
"07/21/2016","132.23","131.97","132.34","131.61","1.28M","0.19%"
"07/20/2016","131.98","132.30","132.33","131.86","838.21K","-0.19%"
"07/19/2016","132.23","132.05","132.41","132.00","887.41K","0.15%"
"07/18/2016","132.03","131.94","132.25","131.73","854.81K","0.11%"
"07/15/2016","131.88","132.34","132.52","131.78","1.24M","-0.39%"
"07/14/2016","132.39","132.73","132.91","132.19","1.37M","-0.33%"
"07/13/2016","132.83","132.48","132.94","132.47","1.20M","0.23%"
"07/12/2016","132.52","133.16","133.25","132.36","1.43M","-0.48%"
"07/11/2016","133.16","133.86","133.89","133.14","932.75K","-0.48%"
"07/08/2016","133.80","133.69","134.02","133.05","1.46M","0.08%"
"07/07/2016","133.69","133.84","133.94","133.34","1.17M","0.01%"
"07/06/2016","133.67","133.84","134.23","133.58","1.43M","-0.16%"
"07/05/2016","133.89","133.30","133.98","133.00","1.12M","0.46%"
"07/04/2016","133.28","133.28","133.34","133.01","","0.02%"
"07/03/2016","133.26","133.28","133.30","133.14","","0.14%"
"07/01/2016","133.08","133.03","133.92","132.98","1.35M","0.08%"
"06/30/2016","132.98","132.70","133.23","132.44","1.94M","-0.06%"
"06/29/2016","133.06","133.19","133.31","132.69","1.10M","-0.14%"
"06/28/2016","133.25","133.44","133.56","133.03","1.14M","-0.02%"
"06/27/2016","133.28","132.75","133.47","132.70","1.32M","0.68%"
"06/24/2016","132.38","130.70","134.22","130.67","3.13M","1.20%"
"06/23/2016","130.81","131.28","131.28","130.73","1.10M","-0.40%"
"06/22/2016","131.34","131.20","131.42","131.16","916.89K","0.00%"
"06/21/2016","131.34","131.42","131.48","131.28","15.68K","-0.04%"
"06/20/2016","131.39","131.39","131.53","131.14","17.32K","-0.29%"
"06/17/2016","131.77","132.08","132.08","131.75","13.69K","-0.30%"
"06/16/2016","132.16","132.16","132.55","131.98","9.07K","0.14%"
"06/15/2016","131.98","131.67","132.14","131.52","26.64K","0.20%"
"06/14/2016","131.72","131.72","132.12","131.62","36.55K","0.02%"
"06/13/2016","131.69","131.59","131.78","131.48","16.57K","0.18%"
"06/10/2016","131.45","131.05","131.53","131.05","14.41K","0.28%"
"06/09/2016","131.08","130.92","131.25","130.89","13.58K","0.15%"
"06/08/2016","130.89","130.92","131.05","130.86","9.26K","-0.04%"
"06/07/2016","130.94","130.78","131.03","130.67","35.29K","0.06%"
"06/06/2016","130.86","131.00","131.00","130.64","40.49K","-0.07%"
"06/03/2016","130.95","129.94","131.02","129.88","70.09K","0.79%"
"06/02/2016","129.92","129.67","130.03","129.64","122.72K","0.22%"
"06/01/2016","129.64","129.66","130.02","129.59","139.87K","-0.12%"
"05/31/2016","129.80","129.50","129.80","129.30","377.11K","0.32%"
"05/30/2016","129.38","129.38","129.40","129.25","","-0.32%"
"05/27/2016","129.80","129.83","129.91","129.47","939.61K","-0.07%"
"05/26/2016","129.89","129.47","129.91","129.44","1.74M","0.32%"
"05/25/2016","129.47","129.53","129.61","129.33","1.98M","-0.07%"
"05/24/2016","129.56","129.78","129.89","129.39","1.72M","-0.15%"
"05/23/2016","129.75","129.72","129.94","129.61","1.03M","0.04%"
