"Date","Price","Open","High","Low","Vol.","Change %"
"07/14/2017","12.58","12.58","12.58","12.58","","-6.88%"
"07/13/2017","13.51","13.51","13.51","13.51","","2.19%"
"07/12/2017","13.22","13.22","13.22","13.22","","-9.20%"
"07/11/2017","14.56","14.56","14.56","14.56","","-3.45%"
"07/10/2017","15.08","15.08","15.08","15.08","","-3.83%"
"07/07/2017","15.68","15.68","15.68","15.68","","-8.78%"
"07/06/2017","17.19","17.19","17.19","17.19","","13.02%"
"07/05/2017","15.21","15.21","15.21","15.21","","-11.00%"
"07/03/2017","17.09","17.09","17.09","17.09","","5.10%"
"06/30/2017","16.26","16.26","16.26","16.26","","-6.82%"
"06/29/2017","17.45","17.45","17.45","17.45","","26.91%"
"06/28/2017","13.75","13.75","13.75","13.75","","-9.84%"
"06/27/2017","15.25","15.25","15.25","15.25","","10.35%"
"06/26/2017","13.82","13.82","13.82","13.82","","3.44%"
"06/23/2017","13.36","13.36","13.36","13.36","","-3.61%"
"06/22/2017","13.86","13.86","13.86","13.86","","10.09%"
"06/21/2017","12.59","12.59","12.59","12.59","","-6.74%"
"06/20/2017","13.50","13.50","13.50","13.50","","5.47%"
"06/19/2017","12.80","12.80","12.80","12.80","","-13.34%"
"06/16/2017","14.77","14.77","14.77","14.77","","2.36%"
"06/15/2017","14.43","14.43","14.43","14.43","","8.74%"
"06/14/2017","13.27","13.27","13.27","13.27","","4.41%"
"06/13/2017","12.71","12.71","12.71","12.71","","-11.92%"
"06/12/2017","14.43","14.43","14.43","14.43","","-9.64%"
"06/09/2017","15.97","15.97","15.97","15.97","","33.86%"
"06/08/2017","11.93","11.93","11.93","11.93","","5.95%"
"06/07/2017","11.26","11.26","11.26","11.26","","-1.66%"
"06/06/2017","11.45","11.45","11.45","11.45","","5.43%"
"06/05/2017","10.86","10.86","10.86","10.86","","-1.09%"
"06/02/2017","10.98","10.98","10.98","10.98","","-0.90%"
"06/01/2017","11.08","11.08","11.08","11.08","","6.33%"
"05/31/2017","10.42","10.42","10.42","10.42","","-1.23%"
"05/30/2017","10.55","10.55","10.55","10.55","","-0.28%"
"05/26/2017","10.58","10.58","10.58","10.58","","-3.73%"
"05/25/2017","10.99","10.99","10.99","10.99","","12.72%"
"05/24/2017","9.75","9.75","9.75","9.75","","-4.22%"
"05/23/2017","10.18","10.18","10.18","10.18","","-3.05%"
"05/22/2017","10.50","10.50","10.50","10.50","","-9.64%"
"05/19/2017","11.62","11.62","11.62","11.62","","-13.09%"
"05/18/2017","13.37","13.37","13.37","13.37","","-0.30%"
"05/17/2017","13.41","13.41","13.41","13.41","","45.92%"
"05/16/2017","9.19","9.19","9.19","9.19","","-4.87%"
"05/15/2017","9.66","9.66","9.66","9.66","","-5.57%"
"05/12/2017","10.23","10.23","10.23","10.23","","-3.94%"
"05/11/2017","10.65","10.65","10.65","10.65","","14.03%"
"05/10/2017","9.34","9.34","9.34","9.34","","-3.81%"
"05/09/2017","9.71","9.71","9.71","9.71","","4.52%"
"05/08/2017","9.29","9.29","9.29","9.29","","-7.56%"
